gp_id,symbol,name,uniprot_id,source
Q9Y463,DYRK1B,Dual specificity tyrosine-phosphorylation-regulated kinase 1B (EC 2.7.12.1) (Minibrain-related kinase) (Mirk protein kinase),Q9Y463,ChEMBL;UniProt
P29376,LTK,Leukocyte tyrosine kinase receptor (EC 2.7.10.1) (Protein tyrosine kinase 1),P29376,ChEMBL;UniProt
Q8TDR2,STK35,Serine/threonine-protein kinase 35 (EC 2.7.11.1) (CLP-36-interacting kinase 1) (CLIK-1) (PDLIM1-interacting kinase 1) (Serine/threonine-protein kinase 35 L1),Q8TDR2,ChEMBL;UniProt
P29597,TYK2,Non-receptor tyrosine-protein kinase TYK2 (EC 2.7.10.2),P29597,ChEMBL;UniProt
Q9UPE1,SRPK3,SRSF protein kinase 3 (EC 2.7.11.1) (Muscle-specific serine kinase 1) (MSSK-1) (Serine/arginine-rich protein-specific kinase 3) (SR-protein-specific kinase 3) (Serine/threonine-protein kinase 23),Q9UPE1,ChEMBL;UniProt
P53667,LIMK1,LIM domain kinase 1 (LIMK-1) (EC 2.7.11.1),P53667,ChEMBL;UniProt
P11362,FGFR1,Fibroblast growth factor receptor 1 (FGFR-1) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1) (BFGFR) (bFGF-R-1) (Fms-like tyrosine kinase 2) (FLT-2) (N-sam) (Proto-oncogene c-Fgr) (CD antigen CD331),P11362,ChEMBL;UniProt
Q16539,MAPK14,Mitogen-activated protein kinase 14 (MAP kinase 14) (MAPK 14) (EC 2.7.11.24) (Cytokine suppressive anti-inflammatory drug-binding protein) (CSAID-binding protein) (CSBP) (MAP kinase MXI2) (MAX-interacting protein 2) (Mitogen-activated protein kinase p38 alpha) (MAP kinase p38 alpha) (Stress-activated protein kinase 2a) (SAPK2a),Q16539,ChEMBL;UniProt
P53350,PLK1,Serine/threonine-protein kinase PLK1 (EC 2.7.11.21) (Polo-like kinase 1) (PLK-1) (Serine/threonine-protein kinase 13) (STPK13),P53350,ChEMBL;UniProt
P51817,PRKX,cAMP-dependent protein kinase catalytic subunit PRKX (PrKX) (Protein kinase X) (Protein kinase X-linked) (Serine/threonine-protein kinase PRKX) (EC 2.7.11.1) (Protein kinase PKX1),P51817,ChEMBL;UniProt
Q00536,CDK16,Cyclin-dependent kinase 16 (EC 2.7.11.22) (Cell division protein kinase 16) (PCTAIRE-motif protein kinase 1) (Serine/threonine-protein kinase PCTAIRE-1),Q00536,ChEMBL;UniProt
P11309,PIM1,Serine/threonine-protein kinase pim-1 (EC 2.7.11.1),P11309,ChEMBL;UniProt
Q96D53,COQ8B,"Atypical kinase COQ8B, mitochondrial (EC 2.7.-.-) (AarF domain-containing protein kinase 4) (Coenzyme Q protein 8B)",Q96D53,ChEMBL;UniProt
Q9UQ88,CDK11A,Cyclin-dependent kinase 11A (EC 2.7.11.22) (Cell division cycle 2-like protein kinase 2) (Cell division protein kinase 11A) (Galactosyltransferase-associated protein kinase p58/GTA) (PITSLRE serine/threonine-protein kinase CDC2L2),Q9UQ88,ChEMBL;UniProt
Q86Z02,HIPK1,Homeodomain-interacting protein kinase 1 (EC 2.7.11.1) (Nuclear body-associated kinase 2),Q86Z02,ChEMBL;UniProt
Q12851,MAP4K2,Mitogen-activated protein kinase kinase kinase kinase 2 (EC 2.7.11.1) (B lymphocyte serine/threonine-protein kinase) (Germinal center kinase) (GC kinase) (MAPK/ERK kinase kinase kinase 2) (MEK kinase kinase 2) (MEKKK 2) (Rab8-interacting protein),Q12851,ChEMBL;UniProt
Q02779,MAP3K10,Mitogen-activated protein kinase kinase kinase 10 (EC 2.7.11.25) (Mixed lineage kinase 2) (Protein kinase MST),Q02779,ChEMBL;UniProt
Q9UBE8,NLK,Serine/threonine-protein kinase NLK (EC 2.7.11.24) (Nemo-like kinase) (Protein LAK1),Q9UBE8,ChEMBL;UniProt
Q13153,PAK1,Serine/threonine-protein kinase PAK 1 (EC 2.7.11.1) (Alpha-PAK) (p21-activated kinase 1) (PAK-1) (p65-PAK),Q13153,ChEMBL;UniProt
O00750,PIK3C2B,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta (PI3K-C2-beta) (PtdIns-3-kinase C2 subunit beta) (EC 2.7.1.137) (EC 2.7.1.154) (C2-PI3K) (Phosphoinositide 3-kinase-C2-beta),O00750,ChEMBL;UniProt
P08922,ROS1,Proto-oncogene tyrosine-protein kinase ROS (EC 2.7.10.1) (Proto-oncogene c-Ros) (Proto-oncogene c-Ros-1) (Receptor tyrosine kinase c-ros oncogene 1) (c-Ros receptor tyrosine kinase),P08922,ChEMBL;UniProt
Q9Y2H1,STK38L,Serine/threonine-protein kinase 38-like (EC 2.7.11.1) (NDR2 protein kinase) (Nuclear Dbf2-related kinase 2),Q9Y2H1,ChEMBL;UniProt
P32298,GRK4,G protein-coupled receptor kinase 4 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK4) (ITI1),P32298,ChEMBL;UniProt
Q9H422,HIPK3,Homeodomain-interacting protein kinase 3 (EC 2.7.11.1) (Androgen receptor-interacting nuclear protein kinase) (ANPK) (Fas-interacting serine/threonine-protein kinase) (FIST) (Homolog of protein kinase YAK1),Q9H422,ChEMBL;UniProt
O60674,JAK2,Tyrosine-protein kinase JAK2 (EC 2.7.10.2) (Janus kinase 2) (JAK-2),O60674,ChEMBL;UniProt
Q8N752,CSNK1A1L,Casein kinase I isoform alpha-like (CKI-alpha-like) (EC 2.7.11.1) (CK1),Q8N752,ChEMBL;UniProt
Q9UEW8,STK39,STE20/SPS1-related proline-alanine-rich protein kinase (Ste-20-related kinase) (EC 2.7.11.1) (DCHT) (Serine/threonine-protein kinase 39),Q9UEW8,ChEMBL;UniProt
Q9P286,PAK5,Serine/threonine-protein kinase PAK 5 (EC 2.7.11.1) (p21-activated kinase 5) (PAK-5) (p21-activated kinase 7) (PAK-7),Q9P286,ChEMBL;UniProt
P48730,CSNK1D,Casein kinase I isoform delta (CKI-delta) (CKId) (EC 2.7.11.1) (Tau-protein kinase CSNK1D) (EC 2.7.11.26),P48730,ChEMBL;UniProt
Q14680,MELK,Maternal embryonic leucine zipper kinase (hMELK) (EC 2.7.11.1) (Protein kinase Eg3) (pEg3 kinase) (Protein kinase PK38) (hPK38) (Tyrosine-protein kinase MELK) (EC 2.7.10.2),Q14680,ChEMBL;UniProt
Q9NYL2,MAP3K20,Mitogen-activated protein kinase kinase kinase 20 (EC 2.7.11.25) (Human cervical cancer suppressor gene 4 protein) (HCCS-4) (Leucine zipper- and sterile alpha motif-containing kinase) (MLK-like mitogen-activated protein triple kinase) (Mitogen-activated protein kinase kinase kinase MLT) (Mixed lineage kinase 7) (Mixed lineage kinase-related kinase) (MLK-related kinase) (MRK) (Sterile alpha motif- and leucine zipper-containing kinase AZK),Q9NYL2,ChEMBL;UniProt
Q9NYY3,PLK2,Serine/threonine-protein kinase PLK2 (EC 2.7.11.21) (Polo-like kinase 2) (PLK-2) (hPlk2) (Serine/threonine-protein kinase SNK) (hSNK) (Serum-inducible kinase),Q9NYY3,ChEMBL;UniProt
Q00535,CDK5,Cyclin-dependent kinase 5 (EC 2.7.11.1) (Cell division protein kinase 5) (Cyclin-dependent-like kinase 5) (Serine/threonine-protein kinase PSSALRE) (Tau protein kinase II catalytic subunit) (TPKII catalytic subunit),Q00535,ChEMBL;UniProt
Q8TD08,MAPK15,Mitogen-activated protein kinase 15 (MAP kinase 15) (MAPK 15) (EC 2.7.11.24) (Extracellular signal-regulated kinase 7) (ERK-7) (Extracellular signal-regulated kinase 8) (ERK-8),Q8TD08,ChEMBL;UniProt
P49137,MAPKAPK2,MAP kinase-activated protein kinase 2 (MAPK-activated protein kinase 2) (MAPKAP kinase 2) (MAPKAP-K2) (MAPKAPK-2) (MK-2) (MK2) (EC 2.7.11.1),P49137,ChEMBL;UniProt
Q13188,STK3,Serine/threonine-protein kinase 3 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 2) (MST-2) (STE20-like kinase MST2) (Serine/threonine-protein kinase Krs-1) [Cleaved into: Serine/threonine-protein kinase 3 36kDa subunit (MST2/N); Serine/threonine-protein kinase 3 20kDa subunit (MST2/C)],Q13188,ChEMBL;UniProt
P30530,AXL,Tyrosine-protein kinase receptor UFO (EC 2.7.10.1) (AXL oncogene),P30530,ChEMBL;UniProt
O75460,ERN1,Serine/threonine-protein kinase/endoribonuclease IRE1 (Endoplasmic reticulum-to-nucleus signaling 1) (Inositol-requiring protein 1) (hIRE1p) (Ire1-alpha) (IRE1a) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)],O75460,ChEMBL;UniProt
O14976,GAK,Cyclin-G-associated kinase (EC 2.7.11.1) (DnaJ homolog subfamily C member 26),O14976,ChEMBL;UniProt
O15111,CHUK,Inhibitor of nuclear factor kappa-B kinase subunit alpha (I-kappa-B kinase alpha) (IKK-A) (IKK-alpha) (IkBKA) (IkappaB kinase) (EC 2.7.11.10) (Conserved helix-loop-helix ubiquitous kinase) (I-kappa-B kinase 1) (IKK-1) (IKK1) (Nuclear factor NF-kappa-B inhibitor kinase alpha) (NFKBIKA) (Transcription factor 16) (TCF-16),O15111,ChEMBL;UniProt
P51617,IRAK1,Interleukin-1 receptor-associated kinase 1 (IRAK-1) (EC 2.7.11.1),P51617,ChEMBL;UniProt
Q02750,MAP2K1,Dual specificity mitogen-activated protein kinase kinase 1 (MAP kinase kinase 1) (MAPKK 1) (MKK1) (EC 2.7.12.2) (ERK activator kinase 1) (MAPK/ERK kinase 1) (MEK 1),Q02750,ChEMBL;UniProt
Q13470,TNK1,Non-receptor tyrosine-protein kinase TNK1 (EC 2.7.10.2) (CD38 negative kinase 1),Q13470,ChEMBL;UniProt
Q9C098,DCLK3,Serine/threonine-protein kinase DCLK3 (EC 2.7.11.1) (Doublecortin domain-containing protein 3C) (Doublecortin-like and CAM kinase-like 3) (Doublecortin-like kinase 3),Q9C098,ChEMBL;UniProt
P22455,FGFR4,Fibroblast growth factor receptor 4 (FGFR-4) (EC 2.7.10.1) (CD antigen CD334),P22455,ChEMBL;UniProt
Q9H3Y6,SRMS,Tyrosine-protein kinase Srms (EC 2.7.10.2),Q9H3Y6,ChEMBL;UniProt
Q04771,ACVR1,Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I) (ACTR-I) (Activin receptor-like kinase 2) (ALK-2) (Serine/threonine-protein kinase receptor R1) (SKR1) (TGF-B superfamily receptor type I) (TSR-I),Q04771,ChEMBL;UniProt
O75747,PIK3C2G,Phosphatidylinositol 3-kinase C2 domain-containing subunit gamma (PI3K-C2-gamma) (PtdIns-3-kinase C2 subunit gamma) (EC 2.7.1.137) (EC 2.7.1.154) (Phosphoinositide 3-kinase-C2-gamma),O75747,ChEMBL;UniProt
P15735,PHKG2,"Phosphorylase b kinase gamma catalytic chain, liver/testis isoform (PHK-gamma-LT) (PHK-gamma-T) (EC 2.7.11.19) (PSK-C3) (Phosphorylase kinase subunit gamma-2)",P15735,ChEMBL;UniProt
P78368,CSNK1G2,Casein kinase I isoform gamma-2 (CKI-gamma 2) (EC 2.7.11.1),P78368,ChEMBL;UniProt
P35916,FLT4,Vascular endothelial growth factor receptor 3 (VEGFR-3) (EC 2.7.10.1) (Fms-like tyrosine kinase 4) (FLT-4) (Tyrosine-protein kinase receptor FLT4),P35916,ChEMBL;UniProt
Q8NG66,NEK11,Serine/threonine-protein kinase Nek11 (EC 2.7.11.1) (Never in mitosis A-related kinase 11) (NimA-related protein kinase 11),Q8NG66,ChEMBL;UniProt
P0C264,SBK3,Uncharacterized serine/threonine-protein kinase SBK3 (EC 2.7.11.1) (SH3 domain-binding kinase family member 3) (Sugen kinase 110),P0C264,ChEMBL;UniProt
P11802,CDK4,Cyclin-dependent kinase 4 (EC 2.7.11.22) (Cell division protein kinase 4) (PSK-J3),P11802,ChEMBL;UniProt
Q8N4C8,MINK1,Misshapen-like kinase 1 (EC 2.7.11.1) (GCK family kinase MiNK) (MAPK/ERK kinase kinase kinase 6) (MEK kinase kinase 6) (MEKKK 6) (Misshapen/NIK-related kinase) (Mitogen-activated protein kinase kinase kinase kinase 6),Q8N4C8,ChEMBL;UniProt
P23443,RPS6KB1,Ribosomal protein S6 kinase beta-1 (S6K-beta-1) (S6K1) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 1) (P70S6K1) (p70-S6K 1) (Ribosomal protein S6 kinase I) (Serine/threonine-protein kinase 14A) (p70 ribosomal S6 kinase alpha) (p70 S6 kinase alpha) (p70 S6K-alpha) (p70 S6KA),P23443,ChEMBL;UniProt
Q9BRS2,RIOK1,Serine/threonine-protein kinase RIO1 (EC 2.7.11.1) (EC 3.6.1.-) (RIO kinase 1),Q9BRS2,ChEMBL;UniProt
Q09013,DMPK,Myotonin-protein kinase (MT-PK) (EC 2.7.11.1) (DM-kinase) (DMK) (DM1 protein kinase) (DMPK) (Myotonic dystrophy protein kinase),Q09013,ChEMBL;UniProt
Q13464,ROCK1,"Rho-associated protein kinase 1 (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-35) (Rho-associated, coiled-coil-containing protein kinase 1) (Rho-associated, coiled-coil-containing protein kinase I) (ROCK-I) (p160 ROCK-1) (p160ROCK)",Q13464,ChEMBL;UniProt
P50613,CDK7,Cyclin-dependent kinase 7 (EC 2.7.11.22) (EC 2.7.11.23) (39 kDa protein kinase) (p39 Mo15) (CDK-activating kinase 1) (Cell division protein kinase 7) (Serine/threonine-protein kinase 1) (TFIIH basal transcription factor complex kinase subunit),P50613,ChEMBL;UniProt
P68400,CSNK2A1,Casein kinase II subunit alpha (CK II alpha) (EC 2.7.11.1),P68400,ChEMBL;UniProt
Q16566,CAMK4,Calcium/calmodulin-dependent protein kinase type IV (CaMK IV) (EC 2.7.11.17) (CaM kinase-GR),Q16566,ChEMBL;UniProt
P78362,SRPK2,SRSF protein kinase 2 (EC 2.7.11.1) (SFRS protein kinase 2) (Serine/arginine-rich protein-specific kinase 2) (SR-protein-specific kinase 2) [Cleaved into: SRSF protein kinase 2 N-terminal; SRSF protein kinase 2 C-terminal],P78362,ChEMBL;UniProt
Q9UF33,EPHA6,Ephrin type-A receptor 6 (EC 2.7.10.1) (EPH homology kinase 2) (EHK-2) (EPH-like kinase 12) (EK12),Q9UF33,ChEMBL;UniProt
Q15831,STK11,Serine/threonine-protein kinase STK11 (EC 2.7.11.1) (Liver kinase B1) (LKB1) (hLKB1) (Renal carcinoma antigen NY-REN-19),Q15831,ChEMBL;UniProt
Q9H1R3,MYLK2,"Myosin light chain kinase 2, skeletal/cardiac muscle (MLCK2) (EC 2.7.11.18)",Q9H1R3,ChEMBL;UniProt
Q99640,PKMYT1,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase (EC 2.7.11.1) (Myt1 kinase),Q99640,ChEMBL;UniProt
O14730,RIOK3,Serine/threonine-protein kinase RIO3 (EC 2.7.11.1) (RIO kinase 3) (sudD homolog),O14730,ChEMBL;UniProt
O00238,BMPR1B,Bone morphogenetic protein receptor type-1B (BMP type-1B receptor) (BMPR-1B) (EC 2.7.11.30) (CD antigen CDw293),O00238,ChEMBL;UniProt
P21860,ERBB3,Receptor tyrosine-protein kinase erbB-3 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-3) (Tyrosine kinase-type cell surface receptor HER3),P21860,ChEMBL;UniProt
Q9NY57,STK32B,Serine/threonine-protein kinase 32B (EC 2.7.11.1) (Yet another novel kinase 2),Q9NY57,ChEMBL;UniProt
P19784,CSNK2A2,Casein kinase II subunit alpha' (CK II alpha') (EC 2.7.11.1),P19784,ChEMBL;UniProt
Q9BYT3,STK33,Serine/threonine-protein kinase 33 (EC 2.7.11.1),Q9BYT3,ChEMBL;UniProt
Q9Y6M4,CSNK1G3,Casein kinase I isoform gamma-3 (CKI-gamma 3) (EC 2.7.11.1),Q9Y6M4,ChEMBL;UniProt
Q6DT37,CDC42BPG,Serine/threonine-protein kinase MRCK gamma (EC 2.7.11.1) (CDC42-binding protein kinase gamma) (DMPK-like gamma) (Myotonic dystrophy kinase-related CDC42-binding kinase gamma) (MRCK gamma) (MRCKG) (Myotonic dystrophy protein kinase-like gamma) (Myotonic dystrophy protein kinase-like alpha),Q6DT37,ChEMBL;UniProt
P15056,BRAF,Serine/threonine-protein kinase B-raf (EC 2.7.11.1) (Proto-oncogene B-Raf) (p94) (v-Raf murine sarcoma viral oncogene homolog B1),P15056,ChEMBL;UniProt
Q13976,PRKG1,cGMP-dependent protein kinase 1 (cGK 1) (cGK1) (EC 2.7.11.12) (cGMP-dependent protein kinase I) (cGKI),Q13976,ChEMBL;UniProt
Q9H093,NUAK2,NUAK family SNF1-like kinase 2 (EC 2.7.11.1) (Omphalocele kinase 2) (SNF1/AMP kinase-related kinase) (SNARK),Q9H093,ChEMBL;UniProt
P31152,MAPK4,Mitogen-activated protein kinase 4 (MAP kinase 4) (MAPK 4) (EC 2.7.11.24) (Extracellular signal-regulated kinase 4) (ERK-4) (MAP kinase isoform p63) (p63-MAPK),P31152,ChEMBL;UniProt
O75116,ROCK2,"Rho-associated protein kinase 2 (EC 2.7.11.1) (Rho kinase 2) (Rho-associated, coiled-coil-containing protein kinase 2) (Rho-associated, coiled-coil-containing protein kinase II) (ROCK-II) (p164 ROCK-2)",O75116,ChEMBL;UniProt
Q8IYT8,ULK2,Serine/threonine-protein kinase ULK2 (EC 2.7.11.1) (Unc-51-like kinase 2),Q8IYT8,ChEMBL;UniProt
P48736,PIK3CG,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform (PI3-kinase subunit gamma) (PI3K-gamma) (PI3Kgamma) (PtdIns-3-kinase subunit gamma) (EC 2.7.1.137) (EC 2.7.1.153) (EC 2.7.1.154) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit gamma) (PtdIns-3-kinase subunit p110-gamma) (p110gamma) (Phosphoinositide-3-kinase catalytic gamma polypeptide) (Serine/threonine protein kinase PIK3CG) (EC 2.7.11.1) (p120-PI3K)",P48736,ChEMBL;UniProt
O14920,IKBKB,Inhibitor of nuclear factor kappa-B kinase subunit beta (I-kappa-B-kinase beta) (IKK-B) (IKK-beta) (IkBKB) (EC 2.7.11.10) (I-kappa-B kinase 2) (IKK-2) (IKK2) (Nuclear factor NF-kappa-B inhibitor kinase beta) (NFKBIKB) (Serine/threonine protein kinase IKBKB) (EC 2.7.11.1),O14920,ChEMBL;UniProt
P51957,NEK4,Serine/threonine-protein kinase Nek4 (EC 2.7.11.1) (Never in mitosis A-related kinase 4) (NimA-related protein kinase 4) (Serine/threonine-protein kinase 2) (Serine/threonine-protein kinase NRK2),P51957,ChEMBL;UniProt
O75385,ULK1,Serine/threonine-protein kinase ULK1 (EC 2.7.11.1) (Autophagy-related protein 1 homolog) (ATG1) (hATG1) (Unc-51-like kinase 1),O75385,ChEMBL;UniProt
O43318,MAP3K7,Mitogen-activated protein kinase kinase kinase 7 (EC 2.7.11.25) (Transforming growth factor-beta-activated kinase 1) (TGF-beta-activated kinase 1),O43318,ChEMBL;UniProt
O14757,CHEK1,Serine/threonine-protein kinase Chk1 (EC 2.7.11.1) (CHK1 checkpoint homolog) (Cell cycle checkpoint kinase) (Checkpoint kinase-1),O14757,ChEMBL;UniProt
O95835,LATS1,Serine/threonine-protein kinase LATS1 (EC 2.7.11.1) (Large tumor suppressor homolog 1) (WARTS protein kinase) (h-warts),O95835,ChEMBL;UniProt
Q96BR1,SGK3,Serine/threonine-protein kinase Sgk3 (EC 2.7.11.1) (Cytokine-independent survival kinase) (Serum/glucocorticoid-regulated kinase 3) (Serum/glucocorticoid-regulated kinase-like),Q96BR1,ChEMBL;UniProt
Q8N5S9,CAMKK1,Calcium/calmodulin-dependent protein kinase kinase 1 (CaM-KK 1) (CaM-kinase kinase 1) (CaMKK 1) (EC 2.7.11.17) (CaM-kinase IV kinase) (Calcium/calmodulin-dependent protein kinase kinase alpha) (CaM-KK alpha) (CaM-kinase kinase alpha) (CaMKK alpha),Q8N5S9,ChEMBL;UniProt
Q8NE63,HIPK4,Homeodomain-interacting protein kinase 4 (EC 2.7.11.1),Q8NE63,ChEMBL;UniProt
P04626,ERBB2,Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340),P04626,ChEMBL;UniProt
O94806,PRKD3,Serine/threonine-protein kinase D3 (EC 2.7.11.13) (Protein kinase C nu type) (Protein kinase EPK2) (nPKC-nu),O94806,ChEMBL;UniProt
Q9BQI3,EIF2AK1,Eukaryotic translation initiation factor 2-alpha kinase 1 (EC 2.7.11.1) (Heme-controlled repressor) (HCR) (Heme-regulated eukaryotic initiation factor eIF-2-alpha kinase) (Heme-regulated inhibitor) (hHRI) (Hemin-sensitive initiation factor 2-alpha kinase),Q9BQI3,ChEMBL;UniProt
Q92918,MAP4K1,Mitogen-activated protein kinase kinase kinase kinase 1 (EC 2.7.11.1) (Hematopoietic progenitor kinase) (MAPK/ERK kinase kinase kinase 1) (MEK kinase kinase 1) (MEKKK 1),Q92918,ChEMBL;UniProt
Q99759,MAP3K3,Mitogen-activated protein kinase kinase kinase 3 (EC 2.7.11.25) (MAPK/ERK kinase kinase 3) (MEK kinase 3) (MEKK 3),Q99759,ChEMBL;UniProt
P51451,BLK,Tyrosine-protein kinase Blk (EC 2.7.10.2) (B lymphocyte kinase) (p55-Blk),P51451,ChEMBL;UniProt
Q15835,GRK1,Rhodopsin kinase GRK1 (RK) (EC 2.7.11.14) (G protein-coupled receptor kinase 1),Q15835,ChEMBL;UniProt
Q13627,DYRK1A,Dual specificity tyrosine-phosphorylation-regulated kinase 1A (EC 2.7.11.23) (EC 2.7.12.1) (Dual specificity YAK1-related kinase) (HP86) (Protein kinase minibrain homolog) (MNBH) (hMNB),Q13627,ChEMBL;UniProt
Q8IVH8,MAP4K3,Mitogen-activated protein kinase kinase kinase kinase 3 (EC 2.7.11.1) (Germinal center kinase-related protein kinase) (GLK) (MAPK/ERK kinase kinase kinase 3) (MEK kinase kinase 3) (MEKKK 3),Q8IVH8,ChEMBL;UniProt
Q9BVS4,RIOK2,Serine/threonine-protein kinase RIO2 (EC 2.7.11.1) (RIO kinase 2),Q9BVS4,ChEMBL;UniProt
P42345,MTOR,Serine/threonine-protein kinase mTOR (EC 2.7.11.1) (FK506-binding protein 12-rapamycin complex-associated protein 1) (FKBP12-rapamycin complex-associated protein) (Mammalian target of rapamycin) (mTOR) (Mechanistic target of rapamycin) (Rapamycin and FKBP12 target 1) (Rapamycin target protein 1) (Tyrosine-protein kinase mTOR) (EC 2.7.10.2),P42345,ChEMBL;UniProt
P22303,ACHE,Acetylcholinesterase (AChE) (EC 3.1.1.7),P22303,ChEMBL;UniProt
P27448,MARK3,MAP/microtubule affinity-regulating kinase 3 (EC 2.7.11.1) (C-TAK1) (cTAK1) (Cdc25C-associated protein kinase 1) (ELKL motif kinase 2) (EMK-2) (Protein kinase STK10) (Ser/Thr protein kinase PAR-1) (Par-1a) (Serine/threonine-protein kinase p78),P27448,ChEMBL;UniProt
P41743,PRKCI,Protein kinase C iota type (EC 2.7.11.13) (Atypical protein kinase C-lambda/iota) (PRKC-lambda/iota) (aPKC-lambda/iota) (nPKC-iota),P41743,ChEMBL;UniProt
Q92772,CDKL2,Cyclin-dependent kinase-like 2 (EC 2.7.11.22) (Protein kinase p56 KKIAMRE) (Serine/threonine-protein kinase KKIAMRE),Q92772,ChEMBL;UniProt
Q8WU08,STK32A,Serine/threonine-protein kinase 32A (EC 2.7.11.1) (Yet another novel kinase 1),Q8WU08,ChEMBL;UniProt
O14733,MAP2K7,Dual specificity mitogen-activated protein kinase kinase 7 (MAP kinase kinase 7) (MAPKK 7) (EC 2.7.12.2) (JNK-activating kinase 2) (MAPK/ERK kinase 7) (MEK 7) (Stress-activated protein kinase kinase 4) (SAPK kinase 4) (SAPKK-4) (SAPKK4) (c-Jun N-terminal kinase kinase 2) (JNK kinase 2) (JNKK 2),O14733,ChEMBL;UniProt
P51956,NEK3,Serine/threonine-protein kinase Nek3 (EC 2.7.11.1) (HSPK 36) (Never in mitosis A-related kinase 3) (NimA-related protein kinase 3),P51956,ChEMBL;UniProt
Q14004,CDK13,Cyclin-dependent kinase 13 (EC 2.7.11.22) (EC 2.7.11.23) (CDC2-related protein kinase 5) (Cell division cycle 2-like protein kinase 5) (Cell division protein kinase 13) (hCDK13) (Cholinesterase-related cell division controller),Q14004,ChEMBL;UniProt
Q00532,CDKL1,Cyclin-dependent kinase-like 1 (EC 2.7.11.22) (Protein kinase p42 KKIALRE) (Serine/threonine-protein kinase KKIALRE),Q00532,ChEMBL;UniProt
O15197,EPHB6,Ephrin type-B receptor 6 (HEP) (Tyrosine-protein kinase-defective receptor EPH-6),O15197,ChEMBL;UniProt
P35590,TIE1,Tyrosine-protein kinase receptor Tie-1 (EC 2.7.10.1),P35590,ChEMBL;UniProt
Q13237,PRKG2,cGMP-dependent protein kinase 2 (cGK 2) (cGK2) (EC 2.7.11.12) (cGMP-dependent protein kinase II) (cGKII),Q13237,ChEMBL;UniProt
P57058,HUNK,Hormonally up-regulated neu tumor-associated kinase (EC 2.7.11.1) (B19) (Serine/threonine-protein kinase MAK-V),P57058,ChEMBL;UniProt
P42679,MATK,Megakaryocyte-associated tyrosine-protein kinase (EC 2.7.10.2) (CSK homologous kinase) (CHK) (Hematopoietic consensus tyrosine-lacking kinase) (Protein kinase HYL) (Tyrosine-protein kinase CTK),P42679,ChEMBL;UniProt
Q9BX84,TRPM6,"Transient receptor potential cation channel subfamily M member 6 (EC 2.7.11.1) (Channel kinase 2) (Melastatin-related TRP cation channel 6) [Cleaved into: TRPM6 kinase, cleaved form]",Q9BX84,ChEMBL;UniProt
Q8TBX8,PIP4K2C,Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma (EC 2.7.1.149) (Phosphatidylinositol 5-phosphate 4-kinase type II gamma) (PI(5)P 4-kinase type II gamma) (PIP4KII-gamma),Q8TBX8,ChEMBL;UniProt
P20794,MAK,Serine/threonine-protein kinase MAK (EC 2.7.11.1) (Male germ cell-associated kinase),P20794,ChEMBL;UniProt
Q9UNQ0,ABCG2,Broad substrate specificity ATP-binding cassette transporter ABCG2 (EC 7.6.2.2) (ATP-binding cassette sub-family G member 2) (Breast cancer resistance protein) (CDw338) (Mitoxantrone resistance-associated protein) (Placenta-specific ATP-binding cassette transporter) (Urate exporter) (CD antigen CD338),Q9UNQ0,ChEMBL;UniProt
Q8WW43,APH1B,Gamma-secretase subunit APH-1B (APH-1b) (Aph-1beta) (Presenilin-stabilization factor-like),Q8WW43,ChEMBL;UniProt
Q96BI3,APH1A,Gamma-secretase subunit APH-1A (APH-1a) (Aph-1alpha) (Presenilin-stabilization factor),Q96BI3,ChEMBL;UniProt
P34947,GRK5,G protein-coupled receptor kinase 5 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK5),P34947,ChEMBL;UniProt
Q9H8M2,BRD9,Bromodomain-containing protein 9 (Rhabdomyosarcoma antigen MU-RMS-40.8),Q9H8M2,ChEMBL;UniProt
Q52WX2,SBK1,Serine/threonine-protein kinase SBK1 (EC 2.7.11.1) (SH3 domain-binding kinase 1),Q52WX2,ChEMBL;UniProt
O14936,CASK,Peripheral plasma membrane protein CASK (hCASK) (EC 2.7.11.1) (Calcium/calmodulin-dependent serine protein kinase) (Protein lin-2 homolog),O14936,ChEMBL;UniProt
